Club,Attendance,W,D,L ,GF,GA,Gdiff,Points,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Total_Pass,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,03-Jan,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Poss
Augsburg,28709,9,9,16,45,63,-18,36,42.1,38.2,26.2,1.24,0.77,2.01,1.12,1.9,63,1.85,157,95,0.599,9,9,16,7,20.6,1,0,1,0,63,0,0,4,3,59,0.38,-1,-0.03,233,684,34.1,956,153,50.5,43.2,303,66.3,53,343,27,7.9,27,0.79,14.8,28,45,358,128,35.8,10.53,3.76,0.12,0.33,18.3,24,3,5,42.1,38.2,0.11,2.9,3.8,8618,12212,70.6,182208,70959,3135,3850,81.4,3674,4547,80.8,1620,3209,50.5,29,26.2,2.8,241,567,170,45,761,524,15.41,336,60,41,30,43,14,67,1.97,42,3,7,4,8,3,0,549,331,276,212,61,190,632,30.1,442,5650,1440,25.5,1794,2622,1234,574,137,7,437,283,832,971,7,16354,2512,6702,7045,3534,568,14630,251,488,51.4,284,19,9156,55657,29047,11083,8618,77.8,424,390,38.1
Bayern Munich,75000,26,4,4,100,32,68,82,82.3,77.8,64.2,2.42,1.89,4.31,2.29,4.18,32,0.94,114,86,0.746,26,4,4,15,44.1,4,3,1,0,32,3,0,6,1,34,0.28,3,0.09,225,383,58.7,1309,207,26.1,30,189,22.2,28.8,205,14,6.8,55,1.62,19,29,97,611,241,39.4,17.97,7.09,0.15,0.38,15.8,13,6,6,82.3,77.8,0.13,14.7,13.2,20739,24240,85.6,413561,128617,7694,8577,89.7,9583,10575,90.6,3186,4363,73,75,64.2,10.8,474,1780,510,128,1966,1015,29.85,778,70,60,46,35,25,170,5,130,7,12,7,9,4,1,552,368,193,256,103,186,555,33.5,369,4904,1702,34.7,1119,2168,1617,462,89,1,373,220,772,565,3,28044,2149,7737,14375,7803,1317,26379,522,835,62.5,566,28,20156,112334,60759,23353,20739,88.8,444,377,65.6
Dortmund,81154,21,6,7,84,41,43,69,59.2,57.9,47.1,1.74,1.39,3.13,1.7,3.09,41,1.21,100,65,0.62,21,6,7,15,44.1,3,3,0,0,41,3,0,8,3,37.4,0.36,-0.6,-0.02,125,344,36.3,918,195,29,32.7,229,34.1,34.9,242,17,7,31,0.91,15,27,84,443,186,42,13.03,5.47,0.19,0.44,16.2,14,2,2,59.2,57.9,0.13,24.8,24.1,20781,24010,86.6,385238,111587,8997,9861,91.2,8870,9720,91.3,2559,3620,70.7,74,47.1,26.9,347,1275,329,54,1465,732,21.53,556,58,49,40,23,6,153,4.5,128,5,12,6,1,1,0,596,401,276,250,70,221,551,40.1,330,5195,1676,32.3,1475,2388,1332,519,106,4,413,286,882,604,11,27902,2183,8548,14302,6858,980,26351,503,828,60.7,545,40,20139,109183,58162,23240,20781,89.4,437,419,61
Dusseldorf,43240,6,12,16,36,67,-31,30,33,30,21.8,0.97,0.64,1.61,0.88,1.52,67,1.97,171,111,0.626,6,12,16,4,11.8,5,3,2,0,67,3,1,9,4,56.3,0.31,-6.7,-0.2,296,657,45.1,996,157,49.9,42.2,254,63,52.2,250,13,5.2,25,0.74,14.6,28,36,424,114,26.9,12.47,3.35,0.08,0.28,19.2,20,4,4,33,30,0.07,3,2,11476,15049,76.3,251262,89850,3859,4602,83.9,5067,5988,84.6,2359,3882,60.8,26,21.8,4.2,291,870,222,79,1064,631,18.56,416,70,50,28,49,18,56,1.65,40,6,3,3,4,0,0,555,347,283,211,61,203,591,34.3,388,5503,1614,29.3,1787,2600,1116,558,118,4,440,302,857,759,10,18883,2196,6989,8308,4639,627,17184,294,490,60,315,10,11508,62828,34741,13976,11476,82.1,411,362,45.4
Frankfurt,50091,13,6,15,59,60,-1,45,52.5,51,38.3,1.54,1.13,2.67,1.5,2.63,60,1.76,172,117,0.669,13,6,15,5,14.7,3,3,0,0,60,3,1,5,2,54.4,0.3,-3.6,-0.11,296,642,46.1,1155,142,45.5,38,231,50.6,42.6,268,24,9,28,0.82,14.9,27,57,492,173,35.2,14.47,5.09,0.11,0.32,16.1,17,2,2,52.5,51,0.11,4.5,4,12408,16463,75.4,256791,97578,4513,5397,83.6,5536,6710,82.5,2150,3670,58.6,45,38.3,6.7,361,1015,279,118,1240,759,22.32,517,84,51,53,39,13,98,2.88,57,15,7,13,2,2,2,679,444,311,289,79,207,630,32.9,423,5909,1837,31.1,1890,2636,1383,584,110,6,474,251,930,761,5,20519,2148,6655,10030,5131,844,18764,346,569,60.8,367,19,12398,75997,42395,15261,12408,81.3,411,361,51
Freiburg,23940,13,9,12,48,47,1,48,41.7,37.2,27.7,1.23,0.81,2.04,1.09,1.91,47,1.38,188,140,0.766,13,9,12,7,20.6,4,3,0,1,47,3,0,6,0,48.6,0.25,1.6,0.05,262,692,37.9,1088,167,41.1,38.4,367,66.8,55.5,315,18,5.7,13,0.38,13,26,46,435,140,32.2,12.79,4.12,0.09,0.29,17.2,26,5,6,41.7,37.2,0.09,4.3,3.8,12120,15509,78.1,259581,89102,3971,4675,84.9,5747,6619,86.8,2192,3605,60.8,27,27.7,-0.7,301,829,244,97,968,674,19.82,450,83,40,37,53,9,75,2.21,37,9,7,5,13,2,2,514,309,264,190,60,141,507,27.8,366,4807,1268,26.4,1675,2068,1064,564,170,3,394,255,769,1027,12,19701,2789,7783,8685,4537,731,17914,277,484,57.2,295,16,12251,76574,41833,14313,12120,84.7,410,387,47.9
Hertha BSC,49240,11,8,15,48,59,-11,41,40.6,38.3,29.3,1.19,0.86,2.06,1.13,1.99,59,1.74,162,112,0.679,11,8,15,9,26.5,7,7,0,0,59,7,3,9,2,49.6,0.27,-7.4,-0.22,341,739,46.1,936,146,57.2,42.9,270,75.6,53.5,338,31,9.2,22,0.65,13.5,32,46,359,120,33.4,10.56,3.53,0.12,0.36,16.8,12,3,3,40.6,38.3,0.11,5.4,4.7,11480,14845,77.3,248991,86426,3900,4553,85.7,5056,5980,84.5,2324,3712,62.6,35,29.3,5.7,267,823,186,74,927,567,16.68,391,57,46,29,31,11,80,2.35,50,7,11,6,4,0,2,613,356,313,230,70,190,580,32.8,390,5758,1570,27.3,2030,2530,1198,651,142,4,509,304,917,986,17,19063,2390,7281,8959,4052,568,17473,391,596,65.6,414,18,11846,73288,39871,13820,11480,83.1,444,400,44.7
Hoffenheim,26836,15,7,12,53,53,0,52,49.9,46.9,33.6,1.47,0.99,2.46,1.38,2.37,53,1.56,163,117,0.712,15,7,12,8,23.5,8,6,2,0,53,6,0,4,2,48.4,0.26,-2.6,-0.08,183,490,37.3,1171,204,32.1,32.8,294,38.8,36.7,355,19,5.4,41,1.21,15.4,31,52,444,154,34.7,13.06,4.53,0.11,0.32,16.5,24,3,4,49.9,46.9,0.11,2.1,2.1,14589,17961,81.2,285823,98109,5622,6348,88.6,6728,7601,88.5,2012,3372,59.7,36,33.6,2.4,334,894,276,86,1162,711,20.91,482,76,49,43,49,11,83,2.44,54,7,7,10,3,1,1,589,353,335,199,55,224,584,38.4,360,4665,1377,29.5,1664,1975,1026,595,141,5,454,263,852,860,4,22069,2697,8706,10200,4512,780,20392,310,536,57.8,331,15,13902,77385,42344,16823,14589,86.7,418,410,51.9
Koln,49825,10,6,18,51,69,-18,36,47.2,44.5,31.9,1.39,0.94,2.33,1.31,2.25,69,2.03,152,87,0.572,10,6,18,6,17.6,6,4,2,0,69,4,1,11,2,53.1,0.32,-13.9,-0.41,311,630,49.4,892,99,53.9,42.2,298,50,40.7,270,18,6.7,14,0.41,14.1,29,50,413,147,35.6,12.15,4.32,0.12,0.33,16.2,20,2,4,47.2,44.5,0.11,2.8,3.5,11292,14923,75.7,246594,93043,3709,4439,83.6,5144,6148,83.7,2286,3818,59.9,38,31.9,6.1,294,824,264,86,1061,641,18.85,439,73,41,34,41,12,81,2.38,50,7,8,8,7,0,1,670,421,348,254,68,213,586,36.3,373,6341,1829,28.8,2141,2855,1345,593,113,2,480,272,942,947,4,19173,2370,7267,8595,4453,682,17442,290,494,58.7,314,12,11330,67731,34902,13813,11292,81.7,489,350,46.7
Leverkusen,27769,19,6,9,61,44,17,63,56.6,55.1,45,1.67,1.32,2.99,1.62,2.95,44,1.29,137,92,0.693,19,6,9,10,29.4,2,2,0,0,44,2,1,6,0,48.7,0.35,4.7,0.14,261,604,43.2,1362,205,37,35.7,234,42.7,38.9,218,21,9.6,29,0.85,15.8,24,57,490,183,37.3,14.41,5.38,0.11,0.3,16.1,4,2,2,56.6,55.1,0.12,0.4,-0.1,19160,22816,84,375504,114250,7282,8112,89.8,8742,9752,89.6,2820,4155,67.9,48,45,3,383,1164,263,64,1371,785,23.09,569,81,55,42,25,10,108,3.18,77,8,9,5,5,1,3,614,382,274,263,77,219,605,36.2,386,5211,1775,34.1,1533,2440,1238,553,93,2,460,246,860,750,9,26975,2466,8622,14296,5839,922,25265,472,758,62.3,505,34,18799,103259,53109,21880,19160,87.6,460,450,63.8
