Club,Expenditure,Arrivals,Income,Departures,Balance
Dortmund,148.5,22,123.75,18,-24.75
Bayern Munich,139.5,11,54,11,-85.5
Hertha BSC,110.7,20,23.45,18,-87.26
Leverkusen,96,12,33.5,10,-62.5
Frankfurt,77.34,28,114.8,26,37.47
RB Leipzig,76.5,17,45.25,15,-31.25
Hoffenheim,55.85,30,121.4,24,65.55
Monchengladbach,40.5,10,34.1,9,-6.4
Wolfsburg,38.8,18,14.3,16,-24.5
Augsburg,31.5,24,19.5,21,-12
Mainz05,28.7,20,27,18,-1.7
Schalke04,26,23,19.15,21,-6.85
Freiburg,18.5,24,8.1,15,-10.4
Koln,18,28,6.85,20,-11.15
Werder Bremen,13.95,23,0,19,-13.95
Dusseldorf,10.75,22,8,24,-2.75
Union Berlin,7.4,27,1.25,20,-6.15
Paderborn07,0.75,26,5.8,25,5.05
