Club,Attendance,W,D,L,GF,GA,Gdiff,Points,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,Total_Pass,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,03-Jan,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Arsenal,47589,14,14,10,56,48,8,56,2.32,49.2,46.9,29.9,1.3,0.79,2.08,1.24,2.02,48,1.26,189,143,0.783,14,14,10,10,26.3,8,7,1,0,7,0,9,0,58,0.27,10,0.26,128,433,29.6,971,220,29.7,32.7,312,46.5,41.4,353,23,6.5,21,0.55,13.3,29,56,401,144,35.9,10.55,3.79,0.13,0.37,15.8,19,3,3,16349,19802,82.6,321220,94865,6299,7029,89.6,7392,8306,89,2428,3776,64.3,35,29.9,5.1,285,1121,320,70,1240,632,16.63,436,57,50,36,36,17,86,2.26,57,4,4,9,4,8,0,601,373,325,199,77,202,596,33.9,394,6127,1640,26.8,2245,2662,1220,614,153,2,461,244,845,978,14,54,24196,2929,8623,11508,5691,931,22390,428,711,60.2,455,34,16309,97513,55374,18851,16349,86.7,448,451
Aston Villa,28505,9,8,21,41,67,-26,35,1.87,40.1,37.7,30.4,1.05,0.8,1.85,0.99,1.79,67,1.76,175,113,0.646,9,8,21,7,18.4,6,5,1,0,5,1,10,1,59.8,0.32,-6.2,-0.16,279,723,38.6,850,170,55.2,44.4,343,74.1,55.5,391,26,6.6,19,0.5,13.1,28,40,453,146,32.2,11.92,3.84,0.09,0.27,16.9,17,1,3,11530,15353,75.1,242867,87449,4292,4999,85.9,4958,5923,83.7,2084,3846,54.2,32,30.4,1.6,361,891,286,95,1034,763,20.08,549,80,36,27,54,16,69,1.82,46,7,5,4,4,2,1,606,388,339,194,73,192,613,31.3,421,5837,1595,27.3,2133,2485,1219,725,213,4,512,254,860,983,29,43.9,19827,2772,7317,8474,5328,781,17902,368,584,63,404,25,11554,74823,39600,14087,11530,81.8,409,428
Bournemouth,7745,9,7,22,40,65,-25,34,1.53,42.7,39.7,27.4,1.12,0.72,1.84,1.04,1.76,65,1.71,182,122,0.67,9,7,22,5,13.2,6,5,1,0,5,4,5,0,64.3,0.33,-0.7,-0.02,206,668,30.8,859,189,53.1,44.5,297,71.4,58.5,328,20,6.1,17,0.45,14.2,27,38,384,116,30.2,10.11,3.05,0.09,0.29,16.3,21,4,4,11943,15973,74.8,234473,86377,4779,5647,84.6,5158,6227,82.8,1773,3382,52.4,24,27.4,-3.4,267,900,258,53,1069,569,14.97,393,66,32,30,40,7,59,1.55,32,4,5,10,7,0,1,559,349,279,220,60,184,582,31.6,398,6790,1780,26.2,2224,2967,1599,703,176,3,527,288,847,1135,14,43.8,20686,2739,7781,8690,5386,832,18878,360,646,55.7,395,28,12186,73851,38870,14685,11943,81.3,521,439
Brighton,22369,9,14,15,39,54,-15,41,1.53,41.2,39.7,26.5,1.08,0.7,1.78,1.04,1.74,54,1.42,164,114,0.683,9,14,15,9,23.7,2,2,0,0,2,0,8,3,54.5,0.32,3.5,0.09,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,314,24,7.6,19,0.5,13.9,25,35,456,137,30,12,3.61,0.07,0.25,17.1,11,1,2,15696,19549,80.3,317859,103840,5976,6845,87.3,7011,8038,87.2,2509,4013,62.5,24,26.5,-2.5,327,1091,310,85,1301,708,18.63,512,69,42,35,32,14,64,1.68,39,8,5,2,5,1,4,663,409,339,237,87,214,644,33.2,430,5794,1743,30.1,2018,2419,1357,631,162,5,469,299,962,934,16,52.2,24066,2881,8807,10577,6186,879,22325,361,599,60.3,380,21,15610,91761,47760,18478,15696,84.9,474,512
Burnley,15995,15,9,14,43,50,-7,54,1.79,43.9,41.6,27.2,1.15,0.72,1.87,1.09,1.81,50,1.32,159,112,0.711,15,9,14,15,39.5,5,4,1,0,4,0,8,1,47.2,0.27,-1.8,-0.05,285,916,31.1,875,168,73,54.4,305,90.8,69.9,373,53,14.2,35,0.92,16.5,22,41,384,124,32.3,10.11,3.26,0.1,0.31,15.6,17,3,3,9925,14227,69.8,203008,78549,4182,4902,85.3,3740,4775,78.3,1773,3907,45.4,30,27.2,2.8,263,778,208,78,814,570,15,392,66,26,36,35,14,66,1.74,43,8,3,5,2,4,1,583,340,264,239,80,204,612,33.3,408,5802,1482,25.5,1782,2535,1485,712,189,3,523,252,835,1234,5,41.4,18703,2366,6006,8777,4828,655,16885,271,473,57.3,293,18,9851,55596,27168,12820,9925,77.4,406,355
Chelsea,32023,20,6,12,69,54,15,66,2.84,66.6,61.7,46.2,1.75,1.22,2.97,1.62,2.84,54,1.42,115,65,0.548,20,6,12,9,23.7,2,2,0,0,2,2,11,3,41.4,0.35,-9.6,-0.25,174,407,42.8,1024,160,30.5,32.3,227,41.9,38.8,258,18,7,23,0.61,15.4,27,69,619,210,33.9,16.29,5.53,0.1,0.3,16.1,27,7,7,20665,24532,84.2,404119,114240,8080,9028,89.5,9196,10285,89.4,3033,4405,68.9,46,46.2,-0.2,453,1482,429,105,1520,991,26.08,739,86,53,46,54,13,110,2.89,76,6,8,8,10,2,0,739,449,351,296,92,217,626,34.7,409,6197,1916,30.9,1812,2841,1544,576,102,2,474,268,1007,930,9,60.7,29171,2489,8842,14256,7901,1197,27383,466,718,64.9,498,15,20509,113142,61660,23597,20665,87.6,475,479
Crystal Palace,19784,11,10,17,31,50,-19,43,1.21,34,31.9,23.6,0.9,0.62,1.52,0.84,1.46,50,1.32,169,120,0.704,11,10,17,10,26.3,1,0,0,1,0,1,7,2,55.6,0.34,7.6,0.2,256,762,33.6,844,169,59.4,45.2,312,83.7,62.5,366,33,9,17,0.45,13.1,25,29,372,116,31.2,9.79,3.05,0.07,0.22,16.4,15,3,3,12142,15940,76.2,235605,89747,5127,5936,86.4,4899,5840,83.9,1819,3435,53,20,23.6,-3.6,253,861,256,57,1040,534,14.05,342,64,51,22,41,12,54,1.42,35,4,5,2,6,0,2,733,430,393,264,76,260,678,38.3,418,6252,1698,27.2,2430,2645,1177,675,153,3,522,277,1010,999,13,44.5,20796,2496,7340,9542,5126,903,18860,448,715,62.7,474,24,12388,72863,38676,14799,12142,82,509,556
Everton,28848,13,10,15,44,56,-12,49,1.92,49.3,48.5,30.9,1.3,0.81,2.11,1.28,2.09,56,1.47,145,95,0.634,13,10,15,9,23.7,4,3,0,1,3,3,6,3,48.7,0.32,-4.3,-0.11,313,784,39.9,1100,179,55.6,45.8,273,63,53.4,315,25,7.9,23,0.61,14.6,24,42,465,155,33.3,12.24,4.08,0.09,0.26,15.6,20,1,1,13239,17176,77.1,281798,100680,4698,5554,84.6,5951,6984,85.2,2403,3983,60.3,32,30.9,1.1,316,1033,297,85,1259,706,18.58,457,83,46,54,43,21,66,1.74,43,5,5,8,2,1,2,739,423,369,267,103,245,736,33.3,491,6067,1659,27.3,2068,2639,1360,588,130,1,458,279,1018,1037,10,49.2,21845,2703,7601,9939,5579,889,20006,392,635,61.7,429,31,13246,78961,41933,16042,13239,82.5,491,470
Leicester City,25312,18,8,12,67,41,26,62,2.84,61.6,56.2,44,1.62,1.16,2.78,1.48,2.64,41,1.08,126,95,0.738,18,8,12,13,34.2,10,8,2,0,8,0,7,2,42.2,0.28,3.2,0.08,239,488,49,936,151,39.9,37.4,242,47.5,40.8,293,10,3.4,27,0.71,15.7,24,65,533,181,34,14.03,4.76,0.11,0.33,16.5,20,5,7,17329,21149,81.9,333434,103827,6970,7807,89.3,7766,8836,87.9,2322,3761,61.7,48,44,4,398,1237,323,84,1336,877,23.08,625,77,64,40,52,17,114,3,87,5,7,2,7,4,2,781,478,381,311,89,283,786,36,503,6392,1984,31,2112,2895,1385,601,107,2,494,309,1090,1013,13,57.6,25867,2350,8090,12502,6789,998,24031,411,678,60.6,444,22,16888,93687,50976,20014,17329,86.6,468,477
Liverpool,41955,32,3,3,85,33,52,99,3.87,71.5,67.7,51.8,1.88,1.36,3.25,1.78,3.15,33,0.87,107,75,0.701,32,3,3,15,39.5,1,1,0,0,1,1,2,1,31.6,0.29,-0.4,-0.01,198,397,49.9,1001,181,29.7,33.4,238,42,39.2,288,24,8.3,44,1.16,16.4,24,83,585,222,37.9,15.39,5.84,0.13,0.35,16,18,5,5,20887,25110,83.2,425217,125713,7701,8605,89.5,9515,10702,88.9,3383,5042,67.1,69,51.8,17.2,436,1734,501,101,1816,915,24.08,674,72,73,37,39,18,140,3.68,95,10,14,8,9,2,2,606,375,225,258,123,212,607,34.9,395,5638,1813,32.2,1496,2346,1796,481,75,2,406,246,852,863,10,63.4,29379,2183,7595,15110,8457,1318,27525,439,718,61.1,482,27,20118,105011,57196,24019,20887,87,477,427
