Club,Expenditure,Arrivals,Income,Departures,Balance
Manchester United,226.78,15,81.18,12,-145.6
Arsenal ,160.4,20,53.65,22,-106.75
Manchester City,159.52,32,69,22,-90.52
Aston Villa,159.1,28,4,26,-155.1
Tottenham ,148.5,15,64.5,15,-84
Wolves,121.8,31,24.1,25,-97.7
Everton,121,27,80.5,23,-40.5
West Ham,120.2,16,54.98,18,-65.22
Leicester City,104.3,17,88.5,13,-15.8
Brighton,74.94,35,7.5,30,-67.44
Newcastle United,72.9,17,35.64,16,-37.26
Sheffield United,71.5,24,0.35,21,-71.15
Southampton,58.6,21,27.3,19,-31.3
Bournemouth,56.45,16,34.5,15,-21.95
Watford,48,31,25.4,21,-22.6
Chelsea,45,33,157.27,26,112.27
Burnley,13.85,8,13.55,10,-0.3
Liverpool,10.4,21,41.6,16,31.2
Norwich City,8.82,28,2.2,28,-6.62
Crystal Palace,7.6,12,55.38,13,47.78
