Club,Attendance,W,Points,GA,# Pl,Age,Poss,Min,GF,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,# Pl,Age,Poss,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Total_Pass,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,03-Jan,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Alaves,9920,10,39,39,32,27.6,41.1,"3,420",34,20,6,6,111,7,0.89,0.53,1.42,0.74,1.26,37,32.5,23.5,0.97,0.62,1.59,0.86,1.48,32,27.6,41.1,34,20,6,6,111,7,0.89,0.53,1.42,0.74,1.26,37,32.5,23.5,0.97,0.62,1.59,0.86,1.48,34,299,99,33.1,7.87,2.61,0.09,0.28,16.2,10,6,6,37,32.5,0.11,-3,-4.5,9724,13753,70.7,207059,86512,3828,4695,81.5,3894,4960,78.5,1814,3529,51.4,20,23.5,-3.5,220,751,177,50,858,465,12.24,295,72,20,27,40,11,53,1.39,31,7,1,6,7,1,0,613,370,295,269,49,194,580,33.4,386,5609,1464,26.1,1757,2820,1032,576,120,0,456,214,827,1085,8,41.1,17992,2141,6134,8850,3878,563,16042,250,466,53.6,277,14,9417,53334,26549,12391,9724,78.5,458,386
Athletic Bilbao,28072,13,51,38,26,26.7,48.7,"3,420",40,23,8,10,90,2,1.05,0.61,1.66,0.84,1.45,38.5,31,23.6,1.01,0.62,1.64,0.81,1.44,26,26.7,48.7,40,23,8,10,90,2,1.05,0.61,1.66,0.84,1.45,38.5,31,23.6,1.01,0.62,1.64,0.81,1.44,40,400,130,32.5,10.53,3.42,0.08,0.25,18.4,14,8,10,38.5,31,0.08,1.5,1,12589,16607,75.8,263278,92587,4837,5640,85.8,5222,6296,82.9,2312,4050,57.1,23,23.6,-0.6,274,929,223,80,1028,587,15.45,385,74,42,26,47,12,59,1.55,39,3,3,5,8,0,1,578,353,286,219,73,191,618,30.9,427,5431,1547,28.5,1706,2478,1247,573,99,2,474,238,816,1130,8,48.7,20945,2191,6617,10445,5181,655,19036,342,567,60.3,374,22,12246,72999,39831,15307,12589,82.2,468,398
Atletico Madrid,42146,18,70,27,30,26.1,48.5,"3,420",50,35,6,8,93,3,1.32,0.92,2.24,1.16,2.08,52.6,46.5,34.4,1.38,0.9,2.29,1.22,2.13,30,26.1,48.5,50,35,6,8,93,3,1.32,0.92,2.24,1.16,2.08,52.6,46.5,34.4,1.38,0.9,2.29,1.22,2.13,50,437,136,31.1,11.5,3.58,0.1,0.32,16.4,12,6,8,52.6,46.5,0.11,-2.6,-2.5,13709,17595,77.9,257089,96920,6091,6947,87.7,5362,6383,84,1871,3468,54,35,34.4,0.6,329,1037,302,59,1287,710,18.68,491,83,39,43,44,10,79,2.08,53,6,8,5,7,0,0,670,431,310,272,88,261,682,38.3,421,5111,1532,30,1616,2385,1110,659,124,1,535,221,891,990,6,48.5,22042,2034,6513,11157,5571,876,20176,350,585,59.8,372,18,13465,71848,38363,16316,13709,84,519,396
Barcelona,53400,25,82,38,28,27.8,66.9,"3,420",84,62,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.4,61.9,48.3,1.75,1.27,3.02,1.63,2.9,28,27.8,66.9,84,62,6,6,92,6,2.21,1.63,3.84,2.05,3.68,66.4,61.9,48.3,1.75,1.27,3.02,1.63,2.9,84,491,214,43.6,12.92,5.63,0.16,0.36,16.6,46,6,6,66.4,61.9,0.13,17.6,16.1,24981,28212,88.5,447366,126905,11376,12316,92.4,10305,11200,92,2786,3644,76.5,62,48.3,14.7,383,1884,439,51,1665,879,23.13,663,39,78,29,62,8,150,3.95,113,6,12,6,12,1,0,545,368,224,228,93,166,462,35.9,296,4843,1487,30.7,1268,2305,1270,493,93,4,400,239,784,638,9,66.9,32096,2720,8347,16677,9213,1180,30469,510,820,62.2,541,27,23589,124498,70747,27494,24981,90.9,392,366
Betis,35240,10,41,60,27,27.5,57.1,"3,420",48,35,6,8,108,9,1.26,0.92,2.18,1.11,2.03,47.3,41.4,32.3,1.24,0.85,2.1,1.09,1.94,27,27.5,57.1,48,35,6,8,108,9,1.26,0.92,2.18,1.11,2.03,47.3,41.4,32.3,1.24,0.85,2.1,1.09,1.94,48,461,153,33.2,12.13,4.03,0.09,0.27,17.7,19,6,8,47.3,41.4,0.09,0.7,0.6,16291,19618,83,318743,95412,6579,7296,90.2,6841,7658,89.3,2509,3828,65.5,35,32.3,2.7,348,977,340,88,1093,773,20.34,575,54,54,30,39,21,78,2.05,54,4,5,6,6,3,0,534,331,285,190,59,160,495,32.3,335,4932,1308,26.5,1590,2228,1114,562,141,1,421,208,742,941,5,57.1,23922,2708,8180,11426,5892,941,21929,447,692,64.6,482,27,16015,94504,52407,18549,16291,87.8,488,406
Celta Vigo,12060,7,37,49,30,25.8,51.9,"3,420",37,26,6,9,104,6,0.97,0.68,1.66,0.82,1.5,37.8,31.1,25,1,0.66,1.65,0.82,1.47,30,25.8,51.9,37,26,6,9,104,6,0.97,0.68,1.66,0.82,1.5,37.8,31.1,25,1,0.66,1.65,0.82,1.47,37,358,131,36.6,9.42,3.45,0.09,0.24,18.1,23,6,9,37.8,31.1,0.09,-0.8,-0.1,14692,18402,79.8,281392,92457,6075,6889,88.2,6251,7221,86.6,2037,3484,58.5,26,25,1,271,928,255,52,1088,598,15.74,432,50,38,25,43,10,65,1.71,40,4,7,4,10,0,0,619,371,351,217,51,191,563,33.9,372,5389,1542,28.6,2040,2314,1035,521,102,0,419,263,882,985,4,51.9,22702,2428,7517,11365,5173,679,20821,367,596,61.6,390,16,14522,84076,44010,17193,14692,85.5,460,450
Eibar,4157,11,42,56,26,29.3,46.3,"3,420",38,24,7,10,92,3,1,0.63,1.63,0.82,1.45,41.3,33.8,23.7,1.09,0.62,1.71,0.89,1.51,26,29.3,46.3,38,24,7,10,92,3,1,0.63,1.63,0.82,1.45,41.3,33.8,23.7,1.09,0.62,1.71,0.89,1.51,38,417,135,32.4,10.97,3.55,0.07,0.23,18,21,7,10,41.3,33.8,0.08,-3.3,-2.8,10623,15315,69.4,232440,87898,3962,4793,82.7,4288,5458,78.6,2181,4486,48.6,24,23.7,0.3,276,1036,248,102,1071,604,15.89,390,78,35,38,44,19,55,1.45,32,4,3,6,8,2,0,618,370,263,255,100,216,622,34.7,406,5515,1618,29.3,1386,2572,1557,580,96,3,484,264,882,1046,7,46.3,19711,1879,5278,9802,5668,704,17635,260,439,59.2,284,16,10552,60323,29261,13748,10623,77.3,526,401
Espanyol,15628,5,25,58,31,27.7,47.3,"3,420",25,17,4,4,107,9,0.66,0.45,1.11,0.55,1,33,30.1,22.7,0.87,0.6,1.47,0.79,1.39,31,27.7,47.3,25,17,4,4,107,9,0.66,0.45,1.11,0.55,1,33,30.1,22.7,0.87,0.6,1.47,0.79,1.39,25,400,123,30.8,10.53,3.24,0.05,0.17,18.6,19,4,4,33,30.1,0.08,-8,-9.1,12032,16181,74.4,249540,88547,4368,5135,85.1,5453,6555,83.2,2015,3897,51.7,17,22.7,-5.7,275,951,246,79,1073,596,15.68,404,71,34,35,41,9,43,1.13,27,4,2,5,3,0,2,640,402,321,254,65,237,685,34.6,448,5907,1660,28.1,1926,2846,1135,551,98,1,453,251,891,1003,8,47.3,20408,2255,6895,10188,4490,653,18544,289,507,57,315,15,11942,71735,38175,14836,12032,81.1,483,376
Getafe,8295,14,54,37,30,27.5,44.6,"3,420",42,31,6,7,135,5,1.11,0.82,1.92,0.95,1.76,37.9,32.6,25.6,1,0.67,1.67,0.86,1.53,30,27.5,44.6,42,31,6,7,135,5,1.11,0.82,1.92,0.95,1.76,37.9,32.6,25.6,1,0.67,1.67,0.86,1.53,42,397,120,30.2,10.45,3.16,0.09,0.3,17.9,27,6,7,37.9,32.6,0.08,4.1,3.4,8444,13358,63.2,181592,80569,3346,4341,77.1,3093,4354,71,1759,3913,45,31,25.6,5.4,274,928,278,124,1069,611,16.08,411,73,33,24,59,10,74,1.95,44,6,11,4,7,1,1,644,391,260,294,90,203,580,35,377,6261,1865,29.8,1633,3179,1449,526,72,2,454,269,913,1145,4,44.6,17758,1587,4713,8406,5413,716,15554,262,448,58.5,289,13,8691,50046,25409,11585,8444,72.9,521,410
Granada,11167,16,56,45,27,26.8,43.7,"3,420",50,34,5,5,109,1,1.32,0.89,2.21,1.18,2.08,41,37.2,24.9,1.08,0.65,1.73,0.98,1.63,27,26.8,43.7,50,34,5,5,109,1,1.32,0.89,2.21,1.18,2.08,41,37.2,24.9,1.08,0.65,1.73,0.98,1.63,50,384,118,30.7,10.11,3.11,0.12,0.38,18.6,25,5,5,41,37.2,0.1,9,7.8,9933,13965,71.1,216931,83075,3584,4367,82.1,4181,5192,80.5,1994,3817,52.2,34,24.9,9.1,256,791,185,71,900,569,14.97,370,75,27,30,49,17,79,2.08,44,7,3,8,10,6,1,590,351,258,264,68,183,532,34.4,349,5811,1577,27.1,1731,2884,1196,588,126,0,462,214,804,1005,4,43.7,18072,2365,6249,8418,4361,612,16138,303,520,58.3,328,22,10152,60208,31291,12437,9933,79.9,443,343
