Club,Expenditure,Arrivals,Income,Departures,Balance
Real Madrid,355.5,34,130,23,-225.5
Barcelona,290,30,158.9,23,-131.1
Atletico Madrid,245.3,25,309,20,63.7
Sevilla,177.75,41,130.85,34,-46.9
Betis,100.25,29,70,22,-30.25
Valencia,75,29,56.3,23,-18.7
Espanyol,61.5,21,59,18,-2.5
Villarreal,44.8,28,69.3,21,24.5
Celta Vigo,24.6,22,40.55,21,15.95
Getafe,21.5,30,11.25,23,-10.25
Real Sociedad,21.25,22,9.5,15,-11.75
Eibar,17.3,24,27,18,9.7
Leganes,16.45,42,40.82,47,24.37
Osasuna,14.2,27,0.3,21,-13.9
Levante ,12.6,29,14.55,22,1.95
Alaves,10.77,39,22.5,32,11.73
Granada ,8.75,22,0.3,23,-8.45
Mallorca,7.5,45,0,35,-7.5
Valladolid,1.4,29,8,27,6.6
Athletic Bilbao,0,15,0,12,0
